ts,corridor,leg,venue,stable,notional_src,notional_src_ccy,notional_stable,top_of_book_rate,achievable_rate,slippage_bps_vs_top,depth_to_1pct_slippage,book_levels_used,filled_fully,source_ok
2026-07-08T04:53:55.399410+00:00,SGD->PHP,off-ramp,Coins.ph,USDT,25000.0,SGD,19342.35,,,,,0,False,False
2026-07-08T07:18:55.994285+00:00,SGD->PHP,off-ramp,Coins.ph,USDT,1000.0,SGD,773.69,,,,,0,False,False
2026-07-08T07:18:55.994285+00:00,SGD->PHP,off-ramp,Coins.ph,USDT,5000.0,SGD,3868.47,,,,,0,False,False
2026-07-08T07:18:55.994285+00:00,SGD->PHP,off-ramp,Coins.ph,USDT,10000.0,SGD,7736.94,,,,,0,False,False
2026-07-08T07:18:55.994285+00:00,SGD->PHP,off-ramp,Coins.ph,USDT,25000.0,SGD,19342.35,,,,,0,False,False
2026-07-08T10:02:17.200754+00:00,SGD->PHP,off-ramp,Coins.ph,USDT,1000.0,SGD,773.69,,,,,0,False,False
2026-07-08T10:02:17.200754+00:00,SGD->PHP,off-ramp,Coins.ph,USDT,5000.0,SGD,3868.47,,,,,0,False,False
2026-07-08T10:02:17.200754+00:00,SGD->PHP,off-ramp,Coins.ph,USDT,10000.0,SGD,7736.94,,,,,0,False,False
2026-07-08T10:02:17.200754+00:00,SGD->PHP,off-ramp,Coins.ph,USDT,25000.0,SGD,19342.35,,,,,0,False,False
2026-07-08T12:10:17.635723+00:00,SGD->PHP,off-ramp,Coins.ph,USDT,1000.0,SGD,773.69,,,,,0,False,False
2026-07-08T12:10:17.635723+00:00,SGD->PHP,off-ramp,Coins.ph,USDT,5000.0,SGD,3868.47,,,,,0,False,False
2026-07-08T12:10:17.635723+00:00,SGD->PHP,off-ramp,Coins.ph,USDT,10000.0,SGD,7736.94,,,,,0,False,False
2026-07-08T12:10:17.635723+00:00,SGD->PHP,off-ramp,Coins.ph,USDT,25000.0,SGD,19342.35,,,,,0,False,False
2026-07-08T15:04:20.907755+00:00,SGD->PHP,off-ramp,Coins.ph,USDT,1000.0,SGD,773.69,,,,,0,False,False
2026-07-08T15:04:20.907755+00:00,SGD->PHP,off-ramp,Coins.ph,USDT,5000.0,SGD,3868.47,,,,,0,False,False
2026-07-08T15:04:20.907755+00:00,SGD->PHP,off-ramp,Coins.ph,USDT,10000.0,SGD,7736.94,,,,,0,False,False
2026-07-08T15:04:20.907755+00:00,SGD->PHP,off-ramp,Coins.ph,USDT,25000.0,SGD,19342.35,,,,,0,False,False
2026-07-08T17:14:23.927235+00:00,SGD->PHP,off-ramp,Coins.ph,USDT,1000.0,SGD,773.69,,,,,0,False,False
2026-07-08T17:14:23.927235+00:00,SGD->PHP,off-ramp,Coins.ph,USDT,5000.0,SGD,3868.47,,,,,0,False,False
2026-07-08T17:14:23.927235+00:00,SGD->PHP,off-ramp,Coins.ph,USDT,10000.0,SGD,7736.94,,,,,0,False,False
2026-07-08T17:14:23.927235+00:00,SGD->PHP,off-ramp,Coins.ph,USDT,25000.0,SGD,19342.35,,,,,0,False,False
2026-07-08T19:00:04.716669+00:00,SGD->PHP,off-ramp,Coins.ph,USDT,1000.0,SGD,773.69,,,,,0,False,False
2026-07-08T19:00:04.716669+00:00,SGD->PHP,off-ramp,Coins.ph,USDT,5000.0,SGD,3868.47,,,,,0,False,False
2026-07-08T19:00:04.716669+00:00,SGD->PHP,off-ramp,Coins.ph,USDT,10000.0,SGD,7736.94,,,,,0,False,False
2026-07-08T19:00:04.716669+00:00,SGD->PHP,off-ramp,Coins.ph,USDT,25000.0,SGD,19342.35,,,,,0,False,False
2026-07-08T20:20:25.121384+00:00,SGD->PHP,off-ramp,Coins.ph,USDT,1000.0,SGD,773.69,,,,,0,False,False
2026-07-08T20:20:25.121384+00:00,SGD->PHP,off-ramp,Coins.ph,USDT,5000.0,SGD,3868.47,,,,,0,False,False
2026-07-08T20:20:25.121384+00:00,SGD->PHP,off-ramp,Coins.ph,USDT,10000.0,SGD,7736.94,,,,,0,False,False
2026-07-08T20:20:25.121384+00:00,SGD->PHP,off-ramp,Coins.ph,USDT,25000.0,SGD,19342.35,,,,,0,False,False
