ts_utc,ccy,spread_pct,ccy_mean_spread_pct,spread_ratio,n_prior_readings
2026-09-03T03:05:32.427059+00:00,EGP,0.0194,,,12
2026-09-03T03:05:32.427059+00:00,PKR,0.2436,,,12
2026-09-03T03:05:32.427059+00:00,BDT,0.4364,,,12
2026-09-03T03:05:32.427059+00:00,VND,0.0776,,,12
2026-09-03T03:05:32.427059+00:00,KES,0.6265,,,12
2026-09-03T03:05:32.427059+00:00,BOB,0.5652,,,12
2026-09-03T03:05:32.427059+00:00,LBP,8.0662,,,12
2026-09-03T04:06:35.668407+00:00,EGP,0.1458,,,13
2026-09-03T04:06:35.668407+00:00,PKR,0.2771,,,13
2026-09-03T04:06:35.668407+00:00,BDT,0.2713,,,13
2026-09-03T04:06:35.668407+00:00,VND,0.0854,,,13
2026-09-03T04:06:35.668407+00:00,KES,0.4682,,,13
2026-09-03T04:06:35.668407+00:00,BOB,0.8078,,,13
2026-09-03T04:06:35.668407+00:00,LBP,8.227,,,13
2026-09-03T05:05:29.553333+00:00,EGP,-0.1263,,,14
2026-09-03T05:05:29.553333+00:00,PKR,0.1947,,,14
2026-09-03T05:05:29.553333+00:00,BDT,0.1218,,,14
2026-09-03T05:05:29.553333+00:00,VND,0.0776,,,14
2026-09-03T05:05:29.553333+00:00,KES,0.263,,,14
2026-09-03T05:05:29.553333+00:00,BOB,0.6467,,,14
2026-09-03T05:05:29.553333+00:00,LBP,3.9934,,,14
2026-09-03T06:05:28.906535+00:00,EGP,-0.1556,,,15
2026-09-03T06:05:28.906535+00:00,PKR,0.2017,,,15
2026-09-03T06:05:28.906535+00:00,BDT,0.1298,,,15
2026-09-03T06:05:28.906535+00:00,VND,0.033,,,15
2026-09-03T06:05:28.906535+00:00,KES,0.4058,,,15
2026-09-03T06:05:28.906535+00:00,BOB,0.8084,,,15
2026-09-03T06:05:28.906535+00:00,LBP,1.7403,,,15
2026-09-03T07:05:36.696251+00:00,EGP,0.0583,,,16
2026-09-03T07:05:36.696251+00:00,PKR,0.1491,,,16
2026-09-03T07:05:36.696251+00:00,BDT,0.3031,,,16
2026-09-03T07:05:36.696251+00:00,VND,0.0913,,,16
2026-09-03T07:05:36.696251+00:00,KES,0.3671,,,16
2026-09-03T07:05:36.696251+00:00,BOB,0.8493,,,16
2026-09-03T07:05:36.696251+00:00,LBP,1.6901,,,16
2026-09-03T08:06:10.399532+00:00,EGP,-0.2918,,,17
2026-09-03T08:06:10.399532+00:00,PKR,0.1245,,,17
2026-09-03T08:06:10.399532+00:00,BDT,0.2876,,,17
2026-09-03T08:06:10.399532+00:00,VND,0.0505,,,17
2026-09-03T08:06:10.399532+00:00,KES,0.2704,,,17
2026-09-03T08:06:10.399532+00:00,BOB,0.8493,,,17
2026-09-03T08:06:10.399532+00:00,LBP,1.6845,,,17
2026-09-03T09:05:38.736882+00:00,EGP,-0.1169,,,18
2026-09-03T09:05:38.736882+00:00,PKR,0.163,,,18
2026-09-03T09:05:38.736882+00:00,BDT,0.3466,,,18
2026-09-03T09:05:38.736882+00:00,VND,0.066,,,18
2026-09-03T09:05:38.736882+00:00,KES,0.2859,,,18
2026-09-03T09:05:38.736882+00:00,BOB,0.8889,,,18
2026-09-03T09:05:38.736882+00:00,LBP,1.4524,,,18
2026-09-03T10:05:31.466306+00:00,EGP,-0.2336,,,19
2026-09-03T10:05:31.466306+00:00,PKR,0.156,,,19
2026-09-03T10:05:31.466306+00:00,BDT,0.4761,,,19
2026-09-03T10:05:31.466306+00:00,VND,0.066,,,19
2026-09-03T10:05:31.466306+00:00,KES,0.2821,,,19
2026-09-03T10:05:31.466306+00:00,BOB,0.8885,,,19
2026-09-03T10:05:31.466306+00:00,LBP,1.1584,,,19
2026-09-03T11:05:33.294084+00:00,EGP,-0.3506,,,20
2026-09-03T11:05:33.294084+00:00,PKR,0.2051,,,20
2026-09-03T11:05:33.294084+00:00,BDT,0.5668,,,20
2026-09-03T11:05:33.294084+00:00,VND,0.0776,,,20
2026-09-03T11:05:33.294084+00:00,KES,0.3249,,,20
2026-09-03T11:05:33.294084+00:00,BOB,0.5251,,,20
2026-09-03T11:05:33.294084+00:00,LBP,1.0454,,,20
2026-09-03T12:05:36.550511+00:00,EGP,-0.3996,,,21
2026-09-03T12:05:36.550511+00:00,PKR,0.2754,,,21
2026-09-03T12:05:36.550511+00:00,BDT,0.555,,,21
2026-09-03T12:05:36.550511+00:00,VND,0.0988,,,21
2026-09-03T12:05:36.550511+00:00,KES,0.3133,,,21
2026-09-03T12:05:36.550511+00:00,BOB,0.4047,,,21
2026-09-03T12:05:36.550511+00:00,LBP,0.9988,,,21
2026-09-03T13:05:38.995982+00:00,EGP,-0.3898,,,22
2026-09-03T13:05:38.995982+00:00,PKR,0.1787,,,22
2026-09-03T13:05:38.995982+00:00,BDT,0.5397,,,22
2026-09-03T13:05:38.995982+00:00,VND,0.0834,,,22
2026-09-03T13:05:38.995982+00:00,KES,0.2978,,,22
2026-09-03T13:05:38.995982+00:00,BOB,0.4858,,,22
