ts_utc,venue,leg,regime,tier_label,volume_threshold,volume_ccy,fee_pct,source_url,error
2026-09-21T07:20:27Z,IndependentReserve,onramp,maker,14,2000000.0,AUD,0.22,https://www.independentreserve.com/sg/fees,
2026-09-21T07:20:27Z,IndependentReserve,onramp,maker,15,2500000.0,AUD,0.2,https://www.independentreserve.com/sg/fees,
2026-09-21T07:20:27Z,IndependentReserve,onramp,maker,16,3000000.0,AUD,0.18,https://www.independentreserve.com/sg/fees,
2026-09-21T07:20:27Z,IndependentReserve,onramp,maker,17,3500000.0,AUD,0.16,https://www.independentreserve.com/sg/fees,
2026-09-21T07:20:27Z,IndependentReserve,onramp,maker,18,4000000.0,AUD,0.14,https://www.independentreserve.com/sg/fees,
2026-09-21T07:20:27Z,IndependentReserve,onramp,maker,19,4500000.0,AUD,0.12,https://www.independentreserve.com/sg/fees,
2026-09-21T07:20:27Z,IndependentReserve,onramp,maker,20,5000000.0,AUD,0.1,https://www.independentreserve.com/sg/fees,
2026-09-21T07:20:27Z,IndependentReserve,onramp,maker,21,10000000.0,AUD,0.08,https://www.independentreserve.com/sg/fees,
2026-09-21T07:20:27Z,IndependentReserve,onramp,maker,22,15000000.0,AUD,0.07,https://www.independentreserve.com/sg/fees,
2026-09-21T07:20:27Z,IndependentReserve,onramp,maker,23,30000000.0,AUD,0.06,https://www.independentreserve.com/sg/fees,
2026-09-21T07:20:27Z,IndependentReserve,onramp,maker,24,50000000.0,AUD,0.05,https://www.independentreserve.com/sg/fees,
2026-09-21T07:20:27Z,IndependentReserve,onramp,maker,25,100000000.0,AUD,0.04,https://www.independentreserve.com/sg/fees,
2026-09-21T07:20:27Z,IndependentReserve,onramp,maker,26,150000000.0,AUD,0.03,https://www.independentreserve.com/sg/fees,
2026-09-21T07:20:27Z,IndependentReserve,onramp,maker,27,200000000.0,AUD,0.02,https://www.independentreserve.com/sg/fees,
2026-09-21T07:20:27Z,Coins.ph,offramp,maker,VIP0,0.0,PHP,0.1,https://support.coins.ph/hc/en-us/articles/11620285112217-How-are-my-trading-fees-calculated-based-on-the-VIP-level-setup,
2026-09-21T07:20:27Z,Coins.ph,offramp,taker,VIP0,0.0,PHP,0.15,https://support.coins.ph/hc/en-us/articles/11620285112217-How-are-my-trading-fees-calculated-based-on-the-VIP-level-setup,
2026-09-21T07:20:27Z,Coins.ph,offramp,maker,VIP1,500000.0,PHP,0.09,https://support.coins.ph/hc/en-us/articles/11620285112217-How-are-my-trading-fees-calculated-based-on-the-VIP-level-setup,
2026-09-21T07:20:27Z,Coins.ph,offramp,taker,VIP1,500000.0,PHP,0.13,https://support.coins.ph/hc/en-us/articles/11620285112217-How-are-my-trading-fees-calculated-based-on-the-VIP-level-setup,
2026-09-21T07:20:27Z,Coins.ph,offramp,maker,VIP2,2000000.0,PHP,0.08,https://support.coins.ph/hc/en-us/articles/11620285112217-How-are-my-trading-fees-calculated-based-on-the-VIP-level-setup,
2026-09-21T07:20:27Z,Coins.ph,offramp,taker,VIP2,2000000.0,PHP,0.12,https://support.coins.ph/hc/en-us/articles/11620285112217-How-are-my-trading-fees-calculated-based-on-the-VIP-level-setup,
2026-09-21T07:20:27Z,Coins.ph,offramp,maker,VIP3,5000000.0,PHP,0.07,https://support.coins.ph/hc/en-us/articles/11620285112217-How-are-my-trading-fees-calculated-based-on-the-VIP-level-setup,
2026-09-21T07:20:27Z,Coins.ph,offramp,taker,VIP3,5000000.0,PHP,0.11,https://support.coins.ph/hc/en-us/articles/11620285112217-How-are-my-trading-fees-calculated-based-on-the-VIP-level-setup,
2026-09-21T07:20:27Z,Coins.ph,offramp,maker,VIP4,10000000.0,PHP,0.06,https://support.coins.ph/hc/en-us/articles/11620285112217-How-are-my-trading-fees-calculated-based-on-the-VIP-level-setup,
2026-09-21T07:20:27Z,Coins.ph,offramp,taker,VIP4,10000000.0,PHP,0.1,https://support.coins.ph/hc/en-us/articles/11620285112217-How-are-my-trading-fees-calculated-based-on-the-VIP-level-setup,
2026-09-21T07:20:27Z,Coins.ph,offramp,maker,VIP5,100000000.0,PHP,0.05,https://support.coins.ph/hc/en-us/articles/11620285112217-How-are-my-trading-fees-calculated-based-on-the-VIP-level-setup,
2026-09-21T07:20:27Z,Coins.ph,offramp,taker,VIP5,100000000.0,PHP,0.09,https://support.coins.ph/hc/en-us/articles/11620285112217-How-are-my-trading-fees-calculated-based-on-the-VIP-level-setup,
