ts_utc,source,ccy,buy_median,sell_median,mid,fx_mid_per_usd,basis_bps,n_ads,source_ok,error
2026-09-02T19:05:33.989824+00:00,binance_p2p,BDT,127.545,127.005,127.275,122.692712,373.48,20,True,
2026-09-02T19:05:33.989824+00:00,binance_p2p,VND,25794.5,25742.5,25768.5,26007.437228,-91.87,20,True,
2026-09-02T19:05:33.989824+00:00,binance_p2p,KES,129.905,129.4,129.6525,129.481429,13.21,20,True,
2026-09-02T19:05:33.989824+00:00,binance_p2p,GHS,,,,11.266187,,0,False,"ValueError:no ads at ~USD 500 (0 buy, 0 sell)"
2026-09-02T19:05:33.989824+00:00,binance_p2p,BOB,12.425,12.37,12.3975,11.879488,436.06,20,True,
2026-09-02T19:05:33.989824+00:00,binance_p2p,LBP,89750.0,88500.0,89125.0,89500.0,-41.9,20,True,
2026-09-02T19:05:33.989824+00:00,binance_p2p,ETB,,,,161.438389,,0,False,"ValueError:no ads at ~USD 500 (0 buy, 0 sell)"
2026-09-02T20:05:33.227396+00:00,binance_p2p,NGN,,,,1332.607355,,0,False,"ValueError:no ads at ~USD 500 (0 buy, 0 sell)"
2026-09-02T20:05:33.227396+00:00,binance_p2p,EGP,51.4,51.46,51.43,50.924246,99.31,20,True,
2026-09-02T20:05:33.227396+00:00,binance_p2p,PKR,285.725,285.005,285.365,277.866264,269.87,20,True,
2026-09-02T20:05:33.227396+00:00,binance_p2p,BDT,127.55,126.705,127.1275,122.692712,361.45,20,True,
2026-09-02T20:05:33.227396+00:00,binance_p2p,VND,25809.0,25738.0,25773.5,26007.437228,-89.95,20,True,
2026-09-02T20:05:33.227396+00:00,binance_p2p,KES,129.785,129.285,129.535,129.481429,4.14,20,True,
2026-09-02T20:05:33.227396+00:00,binance_p2p,GHS,,,,11.266187,,0,False,"ValueError:no ads at ~USD 500 (0 buy, 0 sell)"
2026-09-02T20:05:33.227396+00:00,binance_p2p,BOB,12.45,12.4,12.425,11.879488,459.2,20,True,
2026-09-02T20:05:33.227396+00:00,binance_p2p,LBP,89750.0,88500.0,89125.0,89500.0,-41.9,20,True,
