ts_utc,venue,ccy,usdt_mid,usdc_mid,spread_bps,source_ok,error
2026-09-02T16:05:17.755649+00:00,Foxbit,BRL,5.11815,5.11945,2.54,True,
2026-09-02T16:05:17.755649+00:00,MercadoBitcoin,BRL,5.11815,5.1224,8.3,True,
2026-09-02T17:05:16.659865+00:00,IndependentReserve,SGD,1.270755,1.27152,6.02,True,
2026-09-02T17:05:16.659865+00:00,Coins.ph,PHP,62.515,62.525,1.6,True,
2026-09-02T17:05:16.659865+00:00,BTCTurk,TRY,48.22,48.168,-10.78,True,
2026-09-02T17:05:16.659865+00:00,Upbit,KRW,1375.0,1375.0,0.0,True,
2026-09-02T17:05:16.659865+00:00,Indodax,IDR,17691.5,17711.5,11.3,True,
2026-09-02T17:05:16.659865+00:00,Bitkub,THB,33.135,33.15,4.53,True,
2026-09-02T17:05:16.659865+00:00,Bithumb,KRW,1374.5,1375.5,7.28,True,
2026-09-02T17:05:16.659865+00:00,Coinone,KRW,1374.5,1375.5,7.28,True,
2026-09-02T17:05:16.659865+00:00,Paribu,TRY,48.2205,48.1905,-6.22,True,
2026-09-02T17:05:16.659865+00:00,Pintu,IDR,17702.0,17726.0,13.56,True,
2026-09-02T17:05:16.659865+00:00,Foxbit,BRL,5.1147,5.1168,4.11,True,
2026-09-02T17:05:16.659865+00:00,MercadoBitcoin,BRL,5.11545,5.11665,2.35,True,
2026-09-02T18:05:21.692927+00:00,IndependentReserve,SGD,1.27075,1.27093,1.42,True,
2026-09-02T18:05:21.692927+00:00,Coins.ph,PHP,62.515,62.525,1.6,True,
2026-09-02T18:05:21.692927+00:00,BTCTurk,TRY,48.2295,48.1665,-13.06,True,
2026-09-02T18:05:21.692927+00:00,Upbit,KRW,1375.0,1378.0,21.82,True,
2026-09-02T18:05:21.692927+00:00,Indodax,IDR,17676.5,17692.0,8.77,True,
2026-09-02T18:05:21.692927+00:00,Bitkub,THB,33.115,33.145,9.06,True,
2026-09-02T18:05:21.692927+00:00,Bithumb,KRW,1374.5,1375.5,7.28,True,
2026-09-02T18:05:21.692927+00:00,Coinone,KRW,1375.5,1375.5,0.0,True,
2026-09-02T18:05:21.692927+00:00,Paribu,TRY,48.2205,48.1955,-5.18,True,
2026-09-02T18:05:21.692927+00:00,Pintu,IDR,17700.0,17726.0,14.69,True,
2026-09-02T18:05:21.692927+00:00,Foxbit,BRL,5.11655,5.1203,7.33,True,
2026-09-02T18:05:21.692927+00:00,MercadoBitcoin,BRL,5.11455,5.1207,12.02,True,
2026-09-02T19:05:19.540259+00:00,IndependentReserve,SGD,1.270995,1.270975,-0.16,True,
2026-09-02T19:05:19.540259+00:00,Coins.ph,PHP,62.525,62.535,1.6,True,
2026-09-02T19:05:19.540259+00:00,BTCTurk,TRY,48.2235,48.171,-10.89,True,
2026-09-02T19:05:19.540259+00:00,Upbit,KRW,1375.0,1378.0,21.82,True,
2026-09-02T19:05:19.540259+00:00,Indodax,IDR,17680.5,17704.5,13.57,True,
2026-09-02T19:05:19.540259+00:00,Bitkub,THB,33.135,33.145,3.02,True,
2026-09-02T19:05:19.540259+00:00,Bithumb,KRW,1374.5,1375.5,7.28,True,
2026-09-02T19:05:19.540259+00:00,Coinone,KRW,1375.5,1375.5,0.0,True,
2026-09-02T19:05:19.540259+00:00,Paribu,TRY,48.2205,48.195,-5.29,True,
2026-09-02T19:05:19.540259+00:00,Pintu,IDR,17705.0,17725.0,11.3,True,
2026-09-02T19:05:19.540259+00:00,Foxbit,BRL,5.1212,5.12375,4.98,True,
2026-09-02T19:05:19.540259+00:00,MercadoBitcoin,BRL,5.11985,5.12425,8.59,True,
2026-09-02T20:05:15.321203+00:00,IndependentReserve,SGD,1.27075,1.2711,2.75,True,
